Gefahrene Meilen;Gefahrene Kilometer;Frequenz;Wahrscheinlichkeit Kilometer gefahren;Summe der Wahrscheinlichkeit
0;0;0;0;0
2;3;5;0,001402525;0,001402525
4;6;5;0,001402525;0,002805049
6;10;5;0,001402525;0,004207574
8;13;5;0,001402525;0,005610098
10;16;23;0,006451613;0,012061711
12;19;55;0,01542777;0,027489481
14;23;101;0,028330996;0,055820477
16;26;112;0,03141655;0,087237027
18;29;150;0,042075736;0,129312763
20;32;178;0,049929874;0,179242637
22;35;190;0,053295933;0,232538569
24;39;227;0,063674614;0,296213184
26;42;255;0,071528752;0,367741935
28;45;265;0,074333801;0,442075736
30;48;310;0,086956522;0,529032258
32;51;235;0,065918654;0,594950912
34;55;223;0,062552595;0,657503506
36;58;197;0,055259467;0,712762973
38;61;180;0,050490884;0,763253857
40;64;168;0,047124825;0,810378682
42;68;135;0,037868163;0,848246844
44;71;120;0,033660589;0,881907433
46;74;82;0,023001403;0,904908836
48;77;65;0,018232819;0,923141655
50;80;52;0,014586255;0,93772791
52;84;50;0,014025245;0,951753156
54;87;26;0,007293128;0,959046283
56;90;27;0,007573633;0,966619916
58;93;26;0,007293128;0,973913043
60;97;23;0,006451613;0,980364656
62;100;20;0,005610098;0,985974755
64;103;23;0,006451613;0,992426367
66;106;10;0,002805049;0,995231417
68;109;3;0,000841515;0,996072931
70;113;5;0,001402525;0,997475456
72;116;4;0,00112202;0,998597475
74;119;4;0,00112202;0,999719495
76;122;1;0,000280505;1
